,I_BOWMN,I_BRR023,I_CMBIE,I_CMPFW,I_DER001,I_DER004,I_DHC021,I_ENGLB,I_FRDYC,I_FRNCH,I_JKSMD,I_LCBRF,I_MERLC,I_MFY013,I_NBLDB,I_NFY029,I_OGN005,I_RLLNS,I_SCOTF,I_SFD003,I_SFY007,I_SFY048,I_SLT009,I_SPLDG,I_WLF013
1971-11-30,2.19,1.4,0.46,0.24,0.38,0.43,0.49,3.23,1.97,0.45,0.65,0.81,1.8133296268095305,4.35,5.82,14.72,0.8,5.03,0.43,0.11,3.88,1.69,1.84,2.28,0.29
1971-12-31,2.95,13.47,4.43,2.29,2.99,3.42,4.62,25.09,1.06,0.6,0.53,0.78,4.739803362991448,8.34,11.4,19.99,2.75,11.56,3.42,0.85,13.89,1.63,3.95,3.77,2.79
1972-01-31,3.35,5.11,1.68,0.87,1.79,2.05,1.83,17.36,2.07,0.69,1.75,1.08,1.6381605246386552,14.95,22.3,26.82,7.17,14.68,2.05,0.51,14.86,2.08,8.85,6.06,1.06
1972-02-29,2.95,11.0,3.62,1.87,3.34,3.82,3.48,8.36,2.15,0.6,0.4,1.65,6.323583802496949,20.29,38.13,33.67,10.25,24.18,3.82,0.95,25.44,3.15,11.7,6.39,2.28
1972-03-31,12.39,5.56,1.83,0.94,2.36,2.7,1.36,4.68,9.58,2.54,12.37,12.4,2.968328364906738,44.93,61.14,92.05,12.6,23.51,2.7,0.67,28.42,23.69,38.17,25.26,1.15
1972-04-30,10.06,4.44,1.46,0.75,2.34,2.67,1.05,3.82,8.28,2.06,2.15,8.56,0.0,31.92,42.05,76.17,8.78,19.79,2.67,0.67,22.32,20.21,23.08,15.24,0.92
1972-05-31,16.95,2.8,0.92,0.48,0.63,0.72,0.26,0.3,32.9,3.47,33.65,15.45,4.368217400011528,26.21,26.02,98.07,2.96,11.21,0.72,0.18,3.66,44.01,15.41,15.49,0.58
1972-06-30,7.3,1.4,0.46,0.24,0.5,0.57,0.12,0.0,14.58,1.49,8.92,3.53,0.0,10.36,11.11,48.55,0.84,7.45,0.57,0.14,2.78,12.47,4.23,5.05,0.29
1972-07-31,1.19,0.0,0.0,0.0,0.16,0.18,0.04,0.0,2.45,0.24,0.85,0.21,0.0,3.3,8.6,16.1,0.33,5.21,0.18,0.05,1.9,0.9,1.08,0.0,0.0
1972-08-31,0.66,0.0,0.0,0.0,0.04,0.05,0.0,1.85,1.16,0.13,0.4,0.16,0.8996020672521895,2.16,7.28,10.24,0.17,3.79,0.05,0.01,1.91,0.69,0.6,0.53,0.0
1972-09-30,1.23,0.43,0.14,0.07,0.33,0.38,0.01,10.11,3.04,0.25,0.55,0.43,0.5624563028861924,2.29,2.56,9.79,0.15,3.22,0.38,0.09,1.34,1.95,0.66,0.06,0.09
1972-10-31,1.53,1.25,0.41,0.21,0.59,0.67,0.14,15.86,1.99,0.31,1.14,1.39,5.032636760780911,3.25,3.13,14.32,0.43,4.2,0.67,0.17,1.96,3.73,1.81,2.56,0.26
1972-11-30,5.11,14.81,4.87,2.51,2.62,2.99,4.38,23.57,2.9,1.05,4.42,1.94,6.52505580222981,8.8,14.89,23.43,2.96,11.54,2.99,0.75,11.44,4.03,4.9,6.56,3.06
1972-12-31,11.16,12.95,4.26,2.2,3.01,3.44,6.6,30.38,7.58,2.29,6.26,6.37,8.458403441687574,23.11,29.64,46.63,7.87,18.74,3.44,0.86,17.31,12.19,14.38,12.4,2.68
1973-01-31,8.49,53.63,17.64,9.11,12.07,13.79,38.08,65.7,4.71,1.74,6.51,5.71,14.460329825606507,50.12,103.12,77.17,21.58,58.8,13.79,3.45,66.82,10.53,25.33,13.98,11.1
1973-02-28,2.83,36.42,11.98,6.19,9.62,10.99,24.8,53.17,2.39,0.58,3.31,2.23,27.25731935882928,31.22,79.14,49.53,14.13,47.21,10.99,2.75,52.45,4.22,16.48,4.61,7.54
1973-03-31,4.04,24.87,8.18,4.22,7.05,8.06,13.13,41.61,1.02,0.83,3.06,2.57,15.726028148656614,32.81,63.52,52.44,11.47,38.31,8.06,2.01,42.22,5.1,19.77,5.96,5.15
1973-04-30,11.87,6.02,1.98,1.02,2.4,2.74,3.43,13.03,11.59,2.43,13.28,13.17,3.3856598973985386,35.17,47.59,77.47,8.0,23.01,2.74,0.69,20.68,29.43,30.23,18.78,1.25
1973-05-31,25.86,2.16,0.71,0.37,1.1,1.26,0.81,2.28,40.7,5.3,27.76,22.6,2.481413326068312,35.96,46.53,137.42,4.1,15.31,1.26,0.31,6.48,63.27,45.54,20.61,0.45
1973-06-30,6.7,0.55,0.18,0.09,0.61,0.7,0.24,0.0,16.32,1.37,17.86,4.54,0.0,10.3,16.6,45.06,0.85,8.32,0.7,0.17,5.42,15.86,6.36,3.27,0.11
1973-07-31,2.25,0.0,0.0,0.0,0.46,0.53,0.07,0.0,2.19,0.46,1.05,0.28,0.0,3.82,11.81,15.86,0.3,6.01,0.53,0.13,1.73,1.2,1.52,0.22,0.0
1973-08-31,1.99,1.09,0.36,0.19,0.34,0.39,0.01,0.0,0.0,0.41,0.0,0.23,2.276599480285839,2.72,9.6,11.05,0.21,4.57,0.39,0.1,0.0,0.98,0.78,0.0,0.23
1973-09-30,0.0,1.61,0.53,0.27,0.42,0.48,0.13,2.0,2.34,0.0,0.18,0.74,0.4091588282736248,3.27,8.09,9.6,0.31,1.37,0.48,0.12,1.39,3.33,0.81,0.5,0.33
1973-10-31,0.0,3.16,1.04,0.54,0.62,0.71,0.54,5.28,0.0,0.0,0.46,0.71,1.9387485742785027,4.6,10.28,11.76,0.67,3.98,0.71,0.18,2.38,2.18,1.85,0.15,0.65
1973-11-30,21.42,24.02,7.9,4.08,8.27,9.45,19.38,34.95,17.84,4.39,13.24,12.77,22.180165431199995,51.99,105.49,104.61,16.06,40.7,9.45,2.36,48.3,25.59,44.46,20.36,4.97
1973-12-31,8.2,28.7,9.44,4.87,7.44,8.5,17.41,46.87,4.73,1.68,6.56,6.56,21.158026408577793,41.45,69.82,76.0,16.69,46.95,8.5,2.13,45.0,12.08,23.44,9.24,5.94
1974-01-31,16.51,32.41,10.66,5.5,10.25,11.71,20.88,31.54,11.53,3.38,16.74,12.6,24.7837209589819,70.43,168.71,142.47,22.33,67.97,11.71,2.93,72.14,24.43,48.96,16.77,6.71
1974-02-28,3.53,8.97,2.95,1.52,3.57,4.08,6.17,11.6,2.35,0.72,4.01,3.06,7.838947477541557,20.89,39.58,45.0,5.35,27.14,4.08,1.02,21.77,6.06,8.3,2.33,1.86
1974-03-31,11.09,33.96,11.17,5.77,12.35,14.11,33.25,42.09,0.89,2.27,9.32,6.94,38.872414623974166,71.77,139.76,148.37,23.32,80.44,14.11,3.53,90.64,16.44,50.44,18.63,7.03
1974-04-30,11.66,15.14,4.98,2.57,7.29,8.33,11.56,6.66,4.01,2.39,12.21,8.69,15.303307356420332,53.64,111.92,120.32,14.33,54.2,8.33,2.08,53.28,20.86,31.28,11.47,3.13
1974-05-31,24.79,3.92,1.29,0.67,1.5,1.71,1.3,3.05,36.64,5.08,27.35,22.17,2.052355187499999,42.02,49.04,153.84,3.77,18.06,1.71,0.43,15.95,61.3,31.62,17.46,0.81
1974-06-30,15.66,3.07,1.01,0.52,0.0,0.0,0.39,0.0,52.79,3.21,30.28,11.06,1.124771999999997,22.05,25.47,98.66,1.12,14.04,0.0,0.0,0.0,36.32,11.19,0.0,0.64
1974-07-31,6.48,2.4,0.79,0.41,0.96,1.1,0.48,2.45,9.97,1.33,6.63,2.41,0.7726100034453385,8.18,18.6,35.73,0.94,12.8,1.1,0.27,7.04,9.36,3.48,1.66,0.5
1974-08-31,1.84,0.3,0.1,0.05,0.58,0.66,0.14,0.56,4.47,0.38,0.45,0.3,2.5357766656000007,4.0,10.39,15.57,0.31,7.86,0.66,0.17,0.0,1.23,1.1,0.0,0.06
1974-09-30,0.0,1.82,0.6,0.31,0.49,0.56,0.09,0.0,3.84,0.0,0.0,0.57,0.2908239883813333,2.92,5.75,10.57,0.2,1.1,0.56,0.14,0.0,2.73,0.61,0.0,0.38
1974-10-31,2.99,2.04,0.67,0.35,0.29,0.33,0.17,0.0,3.14,0.61,0.0,0.43,0.0,2.8,6.29,10.43,0.26,3.77,0.33,0.08,2.11,1.33,0.65,0.0,0.42
1974-11-30,0.0,4.1,1.35,0.7,0.59,0.67,0.44,4.02,0.47,0.0,0.86,0.38,1.9696931064857708,3.43,7.44,11.19,0.35,0.0,0.67,0.17,3.22,1.16,1.25,3.76,0.85
1974-12-31,2.04,4.1,1.35,0.7,0.98,1.12,0.97,6.54,0.54,0.42,0.79,0.67,1.773831589018309,4.15,7.19,12.41,0.64,4.11,1.12,0.28,4.84,1.39,2.04,1.33,0.85
1975-01-31,3.23,7.54,2.48,1.28,1.76,2.01,2.39,12.15,1.07,0.66,1.02,0.85,4.703842986081794,8.33,12.78,16.31,2.28,8.43,2.01,0.5,10.21,1.76,4.24,3.97,1.56
1975-02-28,4.12,33.17,10.91,5.63,8.67,9.91,28.93,33.77,2.6,0.84,1.85,1.16,23.252890629911366,25.07,68.65,39.19,14.57,34.29,9.91,2.48,42.38,2.42,13.06,6.03,6.86
1975-03-31,4.87,23.44,7.71,3.98,8.31,9.5,17.53,27.52,0.0,1.0,2.46,2.73,23.474873431264786,45.88,96.85,64.13,24.45,52.36,9.5,2.37,57.47,5.32,25.84,10.5,4.85
1975-04-30,5.0,11.37,3.74,1.93,4.68,5.35,4.84,17.4,3.15,1.02,2.14,3.49,3.1908688736489994,29.38,60.24,52.17,12.35,30.79,5.35,1.34,35.43,6.49,18.71,8.66,2.35
1975-05-31,25.19,3.74,1.23,0.64,2.89,3.3,1.57,1.2,28.97,5.16,31.29,26.19,4.750294612962597,62.56,85.09,157.84,13.64,23.37,3.3,0.83,30.28,55.98,53.12,37.94,0.77
1975-06-30,28.43,1.19,0.39,0.2,1.33,1.52,0.31,0.0,46.45,5.82,35.8,19.79,0.31467619246760226,39.26,34.56,149.65,2.73,8.06,1.52,0.38,9.09,58.65,26.05,12.43,0.25
1975-07-31,4.79,0.85,0.28,0.14,0.94,1.07,0.1,0.0,11.75,0.98,5.83,2.25,0.0,8.39,19.11,37.94,0.73,4.01,1.07,0.27,4.49,8.33,3.17,2.4,0.18
1975-08-31,0.0,1.58,0.52,0.27,1.1,1.26,0.25,0.0,3.94,0.0,0.84,0.21,3.0366080532944513,4.13,16.75,16.29,0.41,3.77,1.26,0.31,1.34,0.91,1.49,0.0,0.33
1975-09-30,1.54,1.34,0.44,0.23,1.02,1.17,0.3,0.0,5.73,0.32,0.0,0.57,0.0,2.98,11.04,11.37,0.15,0.02,1.17,0.29,0.52,2.59,0.75,0.0,0.28
1975-10-31,5.77,1.92,0.63,0.33,1.41,1.61,0.7,4.5,7.79,1.18,2.26,1.74,0.6256539901201047,6.13,12.87,18.16,0.88,6.65,1.61,0.4,5.62,5.47,2.87,1.76,0.4
1975-11-30,3.94,5.81,1.91,0.99,2.19,2.5,0.53,7.14,0.0,0.81,2.19,2.55,0.9840288341974226,7.55,11.46,20.02,1.46,6.96,2.5,0.63,4.96,5.69,3.66,1.83,1.2
1975-12-31,2.37,3.22,1.06,0.55,0.0,0.0,0.7,10.3,3.92,0.48,1.27,1.54,0.42410965319190413,6.11,6.09,16.04,1.31,3.98,0.0,0.0,5.08,3.19,2.79,2.4,0.67
1976-01-31,1.71,1.7,0.56,0.29,0.87,0.99,0.51,4.85,1.13,0.35,0.94,1.46,1.8492352457749555,4.99,5.29,13.47,1.03,2.81,0.99,0.25,4.02,2.74,2.08,1.81,0.35
1976-02-29,2.49,2.68,0.88,0.45,1.64,1.87,1.11,4.08,1.05,0.51,1.51,1.53,0.0,7.52,13.1,17.18,2.45,5.61,1.87,0.47,6.62,3.0,5.14,2.81,0.55
1976-03-31,5.63,2.25,0.74,0.38,1.4,1.6,1.54,3.02,4.01,1.15,3.16,3.27,1.9009560550448368,13.33,20.17,29.67,4.22,7.08,1.6,0.4,10.13,6.91,10.44,8.18,0.47
1976-04-30,6.34,2.31,0.76,0.39,0.9,1.03,1.0,1.87,6.88,1.3,6.72,4.34,0.8926117911680503,11.38,15.66,31.6,3.03,3.17,1.03,0.26,6.2,10.97,8.88,8.92,0.48
1976-05-31,8.57,0.0,0.0,0.0,0.56,0.64,0.32,3.24,13.1,1.76,10.71,5.44,0.3474283992214459,10.44,6.73,41.48,1.18,0.0,0.64,0.16,0.47,16.1,5.12,7.34,0.0
1976-06-30,0.0,0.0,0.0,0.0,0.7,0.8,0.17,1.94,1.33,0.0,1.58,0.41,0.500381580465106,3.22,1.85,12.64,0.5,0.0,0.8,0.2,1.65,1.44,1.18,1.3,0.0
1976-07-31,1.84,0.0,0.0,0.0,0.68,0.78,0.16,2.29,2.89,0.38,0.44,0.09,0.0,1.84,0.48,7.51,0.12,0.0,0.78,0.19,1.6,0.83,0.59,1.13,0.0
1976-08-31,2.51,0.0,0.0,0.0,0.82,0.94,0.77,0.67,0.0,0.51,0.28,0.52,0.0,2.06,2.38,7.83,0.28,1.01,0.94,0.23,1.47,1.78,0.61,0.15,0.0
1976-09-30,0.72,1.16,0.38,0.2,0.61,0.7,0.14,0.89,0.14,0.15,0.0,0.5,0.0,1.62,1.31,6.42,0.19,0.19,0.7,0.17,1.37,1.94,0.43,0.53,0.24
1976-10-31,0.09,1.25,0.41,0.21,0.25,0.29,0.11,1.05,0.99,0.02,0.32,0.1,0.056751612696592915,1.59,1.4,6.24,0.19,1.06,0.29,0.07,1.89,0.58,0.38,0.49,0.26
1976-11-30,0.65,0.88,0.29,0.15,0.4,0.46,0.19,2.43,0.0,0.13,0.31,0.24,0.0,1.79,1.1,6.56,0.24,1.8,0.46,0.11,1.57,0.62,0.45,0.45,0.18
1976-12-31,0.0,0.52,0.17,0.09,0.22,0.25,0.28,3.42,0.03,0.0,0.22,0.19,0.0,1.64,0.29,5.98,0.12,1.07,0.25,0.06,1.49,0.25,0.36,0.5,0.11
1977-01-31,2.46,1.85,0.61,0.31,0.48,0.55,0.45,2.77,0.13,0.5,0.33,0.19,0.816392054882324,2.28,4.32,7.26,0.38,2.6,0.55,0.14,3.06,0.24,0.75,1.47,0.38
1977-02-28,0.58,1.25,0.41,0.21,0.62,0.71,0.36,1.89,0.27,0.12,0.43,0.41,0.5113998318347859,2.57,4.75,7.66,0.59,3.04,0.71,0.18,2.61,0.64,1.42,2.11,0.26
1977-03-31,0.81,1.31,0.43,0.22,0.47,0.54,0.91,1.48,0.97,0.17,0.58,0.77,0.5461263083651117,3.38,5.57,9.28,0.84,2.39,0.54,0.13,2.97,1.41,1.77,3.82,0.27
1977-04-30,4.49,0.0,0.0,0.0,0.21,0.24,0.29,1.9,4.59,0.92,3.22,4.49,0.11439694806509296,4.18,3.09,14.33,0.52,0.0,0.24,0.06,0.0,10.18,1.88,9.98,0.0
1977-05-31,4.37,1.7,0.56,0.29,0.47,0.54,0.97,2.0,6.83,0.9,4.28,4.25,0.3538781383820399,6.26,6.75,20.61,1.41,1.68,0.54,0.13,0.91,11.43,3.7,9.12,0.35
1977-06-30,2.63,0.12,0.04,0.02,0.31,0.35,0.65,1.55,3.95,0.54,2.61,1.1,0.0,2.9,1.3,10.92,0.24,1.46,0.35,0.09,2.06,3.5,0.95,1.64,0.03
1977-07-31,1.58,0.0,0.0,0.0,0.23,0.26,0.6,1.51,0.67,0.32,0.49,0.07,0.08741419598605309,0.99,0.0,5.09,0.11,0.86,0.26,0.07,0.82,0.48,0.32,0.0,0.0
1977-08-31,0.0,0.12,0.04,0.02,0.0,0.0,0.29,0.0,0.09,0.0,0.37,0.06,0.0,0.69,0.0,4.11,0.08,1.16,0.0,0.0,0.0,0.37,0.23,0.02,0.03
1977-09-30,0.29,0.36,0.12,0.06,0.21,0.24,0.61,0.97,0.12,0.06,0.38,0.05,0.0,0.78,0.89,4.22,0.12,0.51,0.24,0.06,0.3,0.26,0.43,0.0,0.08
1977-10-31,1.41,0.33,0.11,0.06,0.17,0.19,0.19,1.05,0.08,0.29,0.42,0.05,0.46986288664634956,0.91,0.08,4.41,0.04,1.47,0.19,0.05,0.43,0.16,0.41,0.0,0.07
1977-11-30,0.56,1.09,0.36,0.19,0.44,0.5,0.37,1.02,0.16,0.11,0.59,0.17,0.32874930302636823,2.42,3.52,6.37,0.56,3.7,0.5,0.13,2.84,0.3,1.2,1.13,0.23
1977-12-31,3.79,9.85,3.24,1.67,2.82,3.22,4.98,5.83,2.69,0.78,3.75,3.62,6.092024041190225,16.63,32.45,33.71,5.03,17.5,3.22,0.81,16.73,6.42,16.72,16.98,2.04
1978-01-31,9.3,57.0,18.75,9.68,15.3,17.49,29.25,52.54,3.43,1.91,6.06,4.76,32.76150458584133,56.23,110.12,87.8,22.02,63.89,17.49,4.37,78.15,7.79,43.12,16.64,11.79
1978-02-28,3.74,17.09,5.62,2.9,5.69,6.5,11.76,0.0,2.06,0.77,3.16,3.37,11.821551864680846,28.64,60.0,52.45,10.9,32.58,6.5,1.63,37.15,5.23,22.54,10.09,3.54
1978-03-31,9.08,21.31,7.01,3.62,7.98,9.12,18.21,39.93,7.29,1.86,10.45,10.61,19.76107209645066,52.89,99.1,100.47,16.61,50.23,9.12,2.28,54.61,19.66,44.9,23.53,4.41
1978-04-30,10.44,12.43,4.09,2.11,5.76,6.58,10.21,32.01,10.61,2.14,13.51,10.37,12.72883368083497,41.67,72.25,91.93,13.61,37.72,6.58,1.65,38.62,22.62,31.9,17.57,2.57
1978-05-31,28.08,3.77,1.24,0.64,2.03,2.32,2.17,10.48,36.1,5.75,33.17,22.82,2.2332302225552465,42.73,48.49,136.2,5.33,18.99,2.32,0.58,14.55,60.21,31.92,21.34,0.78
1978-06-30,20.25,3.59,1.18,0.61,0.61,0.7,0.69,0.0,41.71,4.15,24.1,14.18,2.5953286797174795,23.74,18.34,107.94,1.01,9.47,0.7,0.17,1.58,47.28,15.26,11.41,0.74
1978-07-31,5.8,1.98,0.65,0.34,0.48,0.55,0.3,0.0,13.48,1.19,5.33,1.55,0.0,6.0,16.81,31.2,0.41,6.28,0.55,0.14,3.99,6.68,2.8,0.0,0.41
1978-08-31,0.0,1.64,0.54,0.28,0.27,0.31,0.07,0.0,3.53,0.0,0.75,0.2,0.579759187480545,2.46,14.22,13.2,0.2,4.35,0.31,0.08,1.37,0.39,0.94,0.0,0.34
1978-09-30,0.08,1.76,0.58,0.3,0.56,0.64,0.18,1.78,4.81,0.02,0.95,0.26,2.1983669950308085,2.91,12.09,13.02,0.35,4.15,0.64,0.16,4.89,1.96,1.26,0.05,0.36
1978-10-31,0.0,1.22,0.4,0.21,0.45,0.51,0.26,0.0,1.39,0.0,0.0,0.08,0.0,1.77,5.06,9.18,0.24,1.92,0.51,0.13,2.45,1.42,0.6,2.21,0.25
1978-11-30,0.63,4.65,1.53,0.79,0.91,1.04,0.68,0.0,0.18,0.13,0.51,0.18,1.1543597534596988,2.78,7.32,10.15,0.4,2.65,1.04,0.26,3.74,0.39,0.97,2.36,0.96
1978-12-31,1.53,2.95,0.97,0.5,0.73,0.83,0.48,0.5,0.39,0.31,0.67,0.3,1.9467280326467118,3.2,5.86,10.02,0.52,3.45,0.83,0.21,4.2,0.38,1.28,1.39,0.61
1979-01-31,3.78,16.02,5.27,2.72,3.32,3.79,8.22,14.22,2.24,0.77,1.98,1.81,11.419327394098,12.05,25.09,23.17,3.61,18.21,3.79,0.95,17.52,3.11,6.27,8.34,3.32
1979-02-28,3.53,21.8,7.17,3.7,6.8,7.77,17.7,23.06,1.15,0.72,1.92,1.3,9.152244982432087,13.03,39.79,22.93,4.43,23.02,7.77,1.94,26.79,2.12,7.17,6.38,4.51
1979-03-31,6.51,18.97,6.24,3.22,6.03,6.89,9.68,16.52,3.66,1.33,3.16,5.72,11.250826558476023,33.43,64.99,55.16,15.53,36.9,6.89,1.72,39.58,10.75,20.48,13.24,3.93
1979-04-30,11.42,5.99,1.97,1.02,2.65,3.03,3.28,2.9,6.44,2.34,9.81,9.33,3.3087881762212805,31.72,51.95,66.88,10.15,21.1,3.03,0.76,25.0,21.55,28.57,20.0,1.24
1979-05-31,24.13,4.35,1.43,0.74,1.96,2.24,1.42,0.0,35.67,4.94,30.77,20.8,4.1327842040614255,46.05,61.6,134.9,8.95,21.68,2.24,0.56,18.88,56.57,41.22,24.54,0.9
1979-06-30,6.49,1.55,0.51,0.26,0.41,0.47,0.27,0.0,16.28,1.33,7.29,4.01,0.0,9.88,20.99,44.23,1.15,4.63,0.47,0.12,4.65,13.28,6.03,2.29,0.32
1979-07-31,0.41,0.0,0.0,0.0,0.41,0.47,0.14,0.0,4.52,0.08,1.18,0.17,0.0,3.43,15.64,15.83,0.43,5.01,0.47,0.12,0.42,0.65,1.52,0.0,0.0
1979-08-31,1.1,0.64,0.21,0.11,0.32,0.37,0.06,0.0,1.36,0.23,0.51,0.07,0.3808136442055155,2.18,13.17,10.59,0.18,3.63,0.37,0.09,1.25,0.39,0.65,0.0,0.13
1979-09-30,0.4,0.0,0.0,0.0,0.05,0.06,0.03,0.0,0.2,0.08,0.18,0.03,0.0,1.75,8.3,8.15,0.19,0.31,0.06,0.01,1.92,0.54,0.48,0.65,0.0
1979-10-31,2.35,2.8,0.92,0.48,0.58,0.66,0.62,0.0,0.75,0.48,1.12,0.65,0.0,3.83,13.95,13.58,0.64,4.38,0.66,0.17,4.33,2.33,2.86,0.88,0.58
1979-11-30,3.71,3.53,1.16,0.6,0.78,0.89,1.48,0.0,5.67,0.76,0.71,1.77,1.7291796846216019,7.24,16.62,16.43,1.85,8.62,0.89,0.22,5.77,3.99,5.53,6.03,0.73
1979-12-31,2.84,10.79,3.55,1.83,2.81,3.21,6.94,9.52,3.56,0.58,1.89,2.17,5.498547162338135,10.78,22.74,20.5,3.53,16.91,3.21,0.8,13.67,3.4,5.36,5.52,2.23
1980-01-31,27.7,37.33,12.28,6.34,12.24,13.99,21.8,40.01,19.77,5.67,24.49,22.41,13.631965406487687,96.76,178.46,207.64,34.11,94.7,13.99,3.5,88.27,41.66,71.67,50.74,7.72
1980-02-29,11.1,40.52,13.33,6.88,11.49,13.13,26.75,7.35,7.58,2.27,6.09,7.89,25.97274734510778,66.35,146.94,117.92,20.86,79.83,13.13,3.28,87.19,14.17,44.91,16.59,8.39
1980-03-31,5.15,13.77,4.53,2.34,6.0,6.86,8.33,8.53,5.31,1.06,5.44,3.79,11.335175643374438,35.7,64.75,78.03,12.22,42.45,6.86,1.71,44.23,7.32,17.14,5.29,2.85
1980-04-30,13.54,5.41,1.78,0.92,2.19,2.5,2.11,0.0,15.82,2.77,16.49,12.94,3.642304330992823,33.26,42.56,90.92,6.01,22.4,2.5,0.63,19.62,31.32,21.06,18.37,1.12
1980-05-31,20.75,4.47,1.47,0.76,1.02,1.17,1.03,0.0,30.08,4.25,30.62,17.58,2.6993234021446284,37.82,26.02,129.31,3.61,17.03,1.17,0.29,10.6,50.21,18.85,19.35,0.92
1980-06-30,13.75,3.53,1.16,0.6,0.34,0.39,0.61,0.0,32.44,2.82,18.5,9.6,1.7750874476848852,19.25,18.93,76.82,1.39,10.52,0.39,0.1,2.11,36.11,6.46,6.73,0.73
1980-07-31,4.36,2.64,0.87,0.45,0.36,0.41,0.35,0.0,11.34,0.89,4.5,1.78,1.324538066673251,7.46,16.7,28.94,0.65,6.73,0.41,0.1,4.76,8.5,2.18,2.4,0.55
1980-08-31,0.03,1.09,0.36,0.19,0.0,0.0,0.19,0.0,5.31,0.01,0.66,0.16,0.0,3.04,8.03,13.6,0.0,3.42,0.0,0.0,2.09,0.74,0.92,0.0,0.23
1980-09-30,0.65,0.88,0.29,0.15,0.45,0.51,0.11,3.0,7.01,0.13,0.01,0.12,0.0,2.11,0.0,10.2,0.16,1.52,0.51,0.13,0.0,1.3,0.7,0.0,0.18
1980-10-31,1.01,1.79,0.59,0.3,1.14,1.3,0.28,5.41,1.14,0.21,0.15,0.22,1.2319621210449057,2.12,0.0,9.67,0.24,2.31,1.3,0.33,2.42,1.23,0.72,0.0,0.37
1980-11-30,0.04,0.21,0.07,0.04,0.49,0.56,0.36,4.15,0.33,0.01,0.63,0.19,1.3147601444909995,2.61,0.0,9.94,0.35,2.68,0.56,0.14,2.7,0.42,0.89,0.96,0.04
1980-12-31,1.24,4.04,1.33,0.69,0.73,0.83,1.88,4.9,0.76,0.25,1.38,0.57,3.7206829271234065,5.56,7.33,17.27,0.83,3.85,0.83,0.21,6.06,1.0,5.15,3.98,0.84
1981-01-31,2.92,10.4,3.42,1.77,3.08,3.52,9.28,13.24,0.99,0.6,1.47,0.88,3.01500242847563,8.08,18.91,19.1,2.62,8.92,3.52,0.88,12.04,1.51,5.8,4.4,2.15
1981-02-28,5.82,3.4,1.12,0.58,1.64,1.87,1.96,6.37,3.89,1.19,3.49,4.4,4.636890136323579,16.79,24.63,38.46,5.02,11.53,1.87,0.47,11.46,8.39,14.83,11.7,0.7
1981-03-31,5.95,13.13,4.32,2.23,4.08,4.66,9.34,13.26,3.03,1.22,4.05,3.79,7.135963560267525,24.13,39.9,44.99,9.55,22.89,4.66,1.17,24.48,7.58,17.72,10.68,2.72
1981-04-30,11.72,3.16,1.04,0.54,1.48,1.69,2.19,5.75,14.39,2.4,12.61,10.98,2.7186827049206386,23.27,21.67,63.43,6.57,8.55,1.69,0.42,8.53,27.52,18.64,14.02,0.65
1981-05-31,9.8,0.79,0.26,0.13,0.87,0.99,0.85,2.33,18.23,2.01,13.16,7.85,0.9618951697398153,11.78,14.19,54.87,1.63,5.21,0.99,0.25,2.49,23.14,7.88,8.67,0.16
1981-06-30,1.13,0.0,0.0,0.0,0.76,0.87,0.28,1.19,2.71,0.23,2.63,0.7,0.43146652878201763,3.85,6.84,17.82,0.5,2.82,0.87,0.22,3.88,2.58,2.11,2.45,0.0
1981-07-31,0.0,0.0,0.0,0.0,0.82,0.94,0.19,0.59,0.19,0.0,0.68,0.04,0.23051195275488467,1.74,3.46,9.19,0.2,1.11,0.94,0.23,1.69,0.45,0.76,2.41,0.0
1981-08-31,0.0,0.0,0.0,0.0,0.69,0.79,0.09,1.47,0.1,0.0,0.23,0.05,0.2889018438087092,1.51,1.87,6.65,0.08,1.39,0.79,0.2,1.02,0.31,0.52,0.83,0.0
1981-09-30,1.79,0.0,0.0,0.0,0.69,0.79,0.15,2.14,1.12,0.37,0.23,0.17,0.3924608361367419,1.23,1.86,5.99,0.25,0.92,0.79,0.2,1.36,0.55,0.6,1.77,0.0
1981-10-31,2.25,2.13,0.7,0.36,1.01,1.15,1.14,3.49,4.81,0.46,0.64,0.53,1.640438391727508,3.15,7.49,11.19,1.4,1.59,1.15,0.29,3.62,1.76,3.25,1.72,0.44
1981-11-30,29.11,25.2,8.29,4.28,10.22,11.68,14.7,20.75,24.18,5.96,25.21,21.12,21.24311974838459,59.15,90.3,123.05,10.81,32.48,11.68,2.92,24.76,42.82,48.78,42.84,5.21
1981-12-31,23.3,43.05,14.16,7.31,7.75,8.86,23.5,31.05,21.47,4.77,12.03,18.35,16.139594749912344,102.83,172.41,167.98,31.31,79.84,8.86,2.21,55.83,38.19,59.38,41.57,8.91
1982-01-31,4.02,29.76,9.79,5.05,9.08,10.38,18.48,11.34,3.77,0.82,5.06,3.11,12.303542867160559,41.65,95.55,73.17,12.62,54.8,10.38,2.59,52.77,6.14,15.11,7.01,6.16
1982-02-28,17.85,23.35,7.68,3.97,9.56,10.93,15.5,20.5,16.2,3.66,4.72,15.83,20.92836050080195,90.57,137.12,139.79,23.54,74.72,10.93,2.73,62.69,29.41,45.1,30.81,4.83
